codigo,producto,precio
1992,ENTRENUTS ¡3x1! ACEITE DE COCO VIRGEN 200 CC,3990.0
1647,ENTRENUTS ACEITE DE COCO NEUTRO X 200 CC,3380.76
1533,ENTRENUTS ACEITE DE COCO NEUTRO X 360 CC,5194.73
1648,ENTRENUTS ACEITE DE COCO NEUTRO X 500 CC,6696.83
1646,ENTRENUTS ACEITE DE COCO VIRGEN X 200 CC,5614.81
1637,ENTRENUTS ACEITE DE COCO VIRGEN X 360 CC,9471.88
1699,ENTRENUTS ACEITE DE COCO VIRGEN X 500 CC,12450.6
1808,"ENTRENUTS PASTA DE MANI ""PROTEIN"" 375 GRS SABOR COOKIES & CREAM",3527.16
1809,"ENTRENUTS PASTA DE MANI ""PROTEIN"" 375 GRS SABOR SALTED CARAMEL",3527.16
1183,ENTRENUTS PASTA DE MANI 375 GRS CACAO,2518.97
